p1	p2	dcifer
SPT35471	SPT35556	0
SPT35471	SPT35564	0
SPT35471	SPT35566	0
SPT35471	SPT35587	0
SPT35471	SPT35673	0
SPT35471	SPT35681	0
SPT35471	SPT35752	0
SPT35471	SPT35334	0
SPT35471	SPT35469	0.933
SPT35471	SPT35332	0
SPT35471	SPT35351	0
SPT35471	SPT35355	0
SPT35471	SPT35420	0
SPT35471	SPT35502	0
SPT35471	SPT35412	0
SPT35471	SPT35446	0
SPT35471	SPT35450	0
SPT35471	SPT35474	0
SPT35471	SPT35503	0
SPT35471	SPT35571	0
SPT35471	SPT35575	0
SPT35471	SPT35592	0
SPT35471	SPT35766	0
SPT35471	SPT35500	0
SPT35471	SPT35508	0
SPT35471	SPT35313	0
SPT35471	SPT35328	0
SPT35471	SPT35330	0
SPT35471	SPT35362	0
SPT35471	SPT35430	0
SPT35471	SPT35431	0
SPT35471	SPT35453	0
SPT35471	SPT35317	0
SPT35471	SPT35318	0
SPT35471	SPT35320	0
SPT35471	SPT35321	0
SPT35471	SPT35322	0
SPT35471	SPT35333	0
SPT35471	SPT35341	0
SPT35471	SPT35342	0
SPT35471	SPT35346	0
SPT35471	SPT35347	0
SPT35471	SPT35352	0
SPT35471	SPT35361	0
SPT35471	SPT35363	0
SPT35471	SPT35389	0
SPT35471	SPT35425	0
SPT35471	SPT35435	0.861
SPT35471	SPT35443	0
SPT35471	SPT35447	0
SPT35471	SPT35448	0.867
SPT35471	SPT35449	0
SPT35471	SPT35458	0
SPT35471	SPT35461	0
SPT35471	SPT35462	0
SPT35471	SPT35463	0
SPT35471	SPT35487	0.995
SPT35471	SPT35501	0
SPT35471	SPT35510	0
SPT35471	SPT35511	0
SPT35471	SPT35514	0.891
SPT35471	SPT35515	0.989
SPT35471	SPT35516	0.831
SPT35471	SPT35517	0.878
SPT35471	SPT35518	0
SPT35471	SPT35519	0
SPT35471	SPT35520	0
SPT35471	SPT35521	0
SPT35471	SPT35522	0
SPT35471	SPT35523	0.952
SPT35471	SPT35524	0
SPT35471	SPT35525	0
SPT35471	SPT35526	0
SPT35471	SPT35529	0
SPT35471	SPT35532	0.951
SPT35471	SPT35537	0
SPT35471	SPT35538	0
SPT35471	SPT35541	0
SPT35471	SPT35543	0
SPT35471	SPT35544	0
SPT35471	SPT35546	0
SPT35471	SPT35547	0
SPT35471	SPT35552	0
SPT35471	SPT35553	0
SPT35471	SPT35557	0
SPT35471	SPT35561	0.001
SPT35471	SPT35563	0
SPT35471	SPT35567	0
SPT35471	SPT35576	0
SPT35471	SPT35577	0
SPT35471	SPT35580	0
SPT35471	SPT35583	0
SPT35471	SPT35584	0
SPT35471	SPT35585	0
SPT35471	SPT35302	0
SPT35471	SPT35303	0
SPT35471	SPT35304	0
SPT35471	SPT35306	0
SPT35471	SPT35308	0
SPT35471	SPT35310	0
SPT35471	SPT35315	0
SPT35471	SPT35325	0
SPT35471	SPT35336	0
SPT35471	SPT35337	0
SPT35471	SPT35338	0
SPT35471	SPT35340	0
SPT35471	SPT35348	0
SPT35471	SPT35349	0
SPT35471	SPT35354	0
SPT35471	SPT35356	0
SPT35471	SPT35357	0
SPT35471	SPT35360	0
SPT35471	SPT35365	0
SPT35471	SPT35366	0
SPT35471	SPT35368	0
SPT35471	SPT35369	0
SPT35471	SPT35370	0
SPT35471	SPT35373	0
SPT35471	SPT35377	0
SPT35471	SPT35378	0
SPT35471	SPT35379	0
SPT35471	SPT35382	0
SPT35471	SPT35384	0
SPT35471	SPT35390	0
