p1	p2	ibs
SPT35443	SPT35342	0.805811481218994
SPT35443	SPT35556	0.80697939318629
SPT35443	SPT35557	0.802040816326531
SPT35443	SPT35328	0.806810144488229
SPT35443	SPT35592	0.811798037033289
SPT35443	SPT35435	0.812468373646392
SPT35443	SPT35304	0.81061678463094
SPT35443	SPT35390	0.807839967670236
SPT35443	SPT35436	0.801078002644157
SPT35443	SPT35580	0.805472742759796
SPT35443	SPT35538	0.80607402720658
SPT35443	SPT35537	0.806743246117847
SPT35443	SPT35320	0.810852885577672
SPT35443	SPT35541	0.806952965235174
SPT35443	SPT35673	0.804325670931944
SPT35443	SPT35502	0.799150055651118
SPT35443	SPT35330	0.808761294750086
SPT35443	SPT35546	0.809697881948178
SPT35443	SPT35547	0.809783707297352
SPT35443	SPT35544	0.805685755043815
SPT35443	SPT35362	0.804402706250631
SPT35443	SPT35499	0.805298954420871
SPT35443	SPT35336	0.810761421319797
SPT35443	SPT35577	0.802327935222672
SPT35443	SPT35325	0.804584819154356
SPT35443	SPT35331	0.808441886297082
SPT35443	SPT35337	0.807171717171717
SPT35443	SPT35306	0.807637906647808
SPT35443	SPT35407	0.815563415866599
SPT35443	SPT35346	0.810461476320307
SPT35443	SPT35405	0.813883716118353
SPT35443	SPT35410	0.804275149427616
SPT35443	SPT35575	0.80579973729413
SPT35443	SPT35576	0.811818181818182
SPT35443	SPT35766	0.803719659556583
SPT35443	SPT35347	0.810712481051036
SPT35443	SPT35412	0.808424635677056
SPT35443	SPT35414	0.80942140296979
SPT35443	SPT35348	0.812026275896918
SPT35443	SPT35417	0.807532651614863
SPT35443	SPT35571	0.80937893411666
SPT35443	SPT35349	0.802585075229728
SPT35443	SPT35351	0.807892224461653
SPT35443	SPT35418	0.807816929931146
SPT35443	SPT35419	0.811278728358813
SPT35443	SPT35566	0.814662273476112
SPT35443	SPT35567	0.811767084512738
SPT35443	SPT35420	0.801460150070979
SPT35443	SPT35423	0.797088262056415
SPT35443	SPT35564	0.80668016194332
SPT35443	SPT35352	0.808946783802888
SPT35443	SPT35424	0.801075268817204
SPT35443	SPT35357	0.808042028692665
SPT35443	SPT35437	0.81219043768321
SPT35443	SPT35563	0.812683025345855
SPT35443	SPT35308	0.811460446247464
SPT35443	SPT35425	0.811925183424615
SPT35443	SPT35440	0.810250349199527
SPT35443	SPT35354	0.810971913517882
SPT35443	SPT35309	0.805378627034678
SPT35443	SPT35310	0.805914033126715
SPT35443	SPT35355	0.804123711340206
SPT35443	SPT35332	0.803737373737374
SPT35443	SPT35333	0.808119571803676
SPT35443	SPT35561	0.810682071551637
SPT35443	SPT35363	0.808302191697808
SPT35443	SPT35427	0.809702694000215
SPT35443	SPT35752	0.808678900942918
SPT35443	SPT35430	0.806624797406807
SPT35443	SPT35431	0.811839967506093
SPT35443	SPT35313	0.807097361237489
SPT35443	SPT35780	0.807091469681398
SPT35443	SPT35315	0.808570851020821
SPT35443	SPT35316	0.809162621359223
SPT35443	SPT35317	0.808022633121148
SPT35443	SPT35334	0.807513633609372
SPT35443	SPT35543	0.81229429875783
SPT35447	SPT35444	0.805931590368916
SPT35447	SPT35446	0.806106870229008
SPT35447	SPT35503	0.806737227763078
SPT35447	SPT35302	0.817960919307482
SPT35447	SPT35508	0.817252202085654
SPT35447	SPT35365	0.806474456246839
SPT35447	SPT35449	0.820906666666667
SPT35447	SPT35523	0.810297552554077
SPT35447	SPT35338	0.807058347659015
SPT35447	SPT35339	0.800421332741989
SPT35447	SPT35372	0.803987047156446
SPT35447	SPT35373	0.81078074433657
SPT35447	SPT35587	0.819650861052135
SPT35447	SPT35303	0.803306666666667
SPT35447	SPT35356	0.80958640914147
SPT35447	SPT35448	0.821235102925244
SPT35447	SPT35364	0.806210174977243
SPT35447	SPT35366	0.805825242718447
SPT35447	SPT35524	0.798582995951417
SPT35447	SPT35321	0.810184247823446
SPT35447	SPT35374	0.80370145631068
SPT35447	SPT35318	0.813447927199191
SPT35447	SPT35453	0.803845367150747
SPT35447	SPT35509	0.805824254149272
SPT35447	SPT35450	0.81336327905671
SPT35447	SPT35525	0.819335038363171
SPT35447	SPT35510	0.80659389127798
SPT35447	SPT35340	0.810092021437961
SPT35447	SPT35583	0.806007889147365
SPT35447	SPT35584	0.808616826237523
SPT35447	SPT35585	0.820837190167644
SPT35447	SPT35458	0.816644730181229
SPT35447	SPT35500	0.809673176161085
SPT35447	SPT35322	0.81128640776699
SPT35447	SPT35377	0.81041456016178
SPT35447	SPT35511	0.819327304135759
SPT35447	SPT35323	0.806614746636998
SPT35447	SPT35461	0.808704453441296
SPT35447	SPT35462	0.81364696339856
SPT35447	SPT35463	0.804470969047137
SPT35447	SPT35341	0.807847896440129
SPT35447	SPT35368	0.805662285136502
SPT35447	SPT35378	0.81041456016178
SPT35447	SPT35552	0.805642295682136
SPT35447	SPT35551	0.804013925865247
SPT35447	SPT35459	0.811297833569549
SPT35447	SPT35474	0.813260340632603
SPT35447	SPT35514	0.813075112347528
SPT35447	SPT35519	0.801765316718588
SPT35447	SPT35526	0.820091324200913
SPT35447	SPT35501	0.801864801864802
SPT35447	SPT35681	0.804068414128125
SPT35447	SPT35467	0.819084278768233
SPT35447	SPT35469	0.814368223730874
SPT35447	SPT35470	0.812032355915066
SPT35447	SPT35468	0.81199959460829
SPT35447	SPT35471	0.809779307552136
SPT35447	SPT35379	0.81319817956144
SPT35447	SPT35472	0.801132915233664
SPT35447	SPT35529	0.819510709572632
SPT35447	SPT35517	0.81399351964358
SPT35447	SPT35516	0.814217624987324
SPT35447	SPT35360	0.809990898978663
SPT35447	SPT35515	0.811613295500608
SPT35447	SPT35518	0.809225166902691
SPT35447	SPT35475	0.819285642011535
SPT35447	SPT35520	0.80506329113924
SPT35447	SPT35324	0.808747595423712
SPT35447	SPT35476	0.816336884830036
SPT35447	SPT35485	0.806677491374061
SPT35447	SPT35389	0.810313447927199
